Customer_ID,Loan Amount
C-6692,48193.77734375
C-25987,139812.6875
C-5051,117358.4375
C-12745,84812.8828125
C-8292,17965.021484375
C-3754,186922.328125
C-3984,124090.1640625
C-48953,0.0
C-30172,28509.828125
C-23000,18218.775390625
C-14147,65074.4921875
C-15348,42790.55859375
C-28709,0.0
C-7050,0.0
C-14470,9066.861328125
C-7656,33596.1171875
C-33746,126263.75
C-32548,70372.359375
C-12679,0.0
C-24115,125110.375
C-7252,0.0
C-7384,5271.5849609375
C-24989,37970.36328125
C-32928,10346.251953125
C-3691,27814.396484375
C-24878,25129.068359375
C-21789,65105.58984375
C-16659,30017.380859375
C-8886,75324.0390625
C-45045,0.0
C-38455,42139.46484375
C-19376,48225.46484375
C-7171,27418.423828125
C-33221,97860.28125
C-12358,25245.470703125
C-41422,0.0
C-5161,82660.9921875
C-42940,31028.046875
C-30405,14029.65234375
C-15024,51284.31640625
C-30938,19354.072265625
C-17715,0.0
C-44216,59354.48828125
C-43407,125708.6484375
C-19049,0.0
C-21169,73702.3515625
C-30064,17240.4609375
C-24705,54933.890625
C-34558,118360.2890625
C-8525,63740.48046875
C-44176,20000.326171875
C-45527,23022.037109375
C-33101,0.0
C-20333,76313.65625
C-3234,36489.80859375
C-34681,10696.783203125
C-37749,19181.880859375
C-27366,25945.142578125
C-12142,56081.23046875
C-14285,61261.98828125
C-3043,100192.8515625
C-28933,30493.64453125
C-14391,21351.44140625
C-5171,109998.7265625
C-42051,12578.3447265625
C-39348,76113.6875
C-29579,91626.3125
C-946,50820.9296875
C-3037,50647.20703125
C-47057,161059.46875
C-8989,33692.8359375
C-41680,0.0
C-41271,0.0
C-18852,119279.015625
C-10918,20740.1015625
C-48018,57236.09375
C-22681,78799.6015625
C-35914,91716.078125
C-18648,131332.828125
C-49531,0.0
C-13925,76582.2109375
C-30823,110919.734375
C-49367,140899.828125
C-40211,91334.6328125
C-44380,0.0
C-12954,30255.431640625
C-7743,52854.14453125
C-8851,70202.0546875
C-38331,132633.578125
C-8081,45344.49609375
C-33982,25335.517578125
C-27737,70773.4296875
C-29442,114605.8359375
C-26011,0.0
C-25819,93726.21875
C-45949,20140.095703125
C-18022,165946.59375
C-1697,18348.1875
C-30378,0.0
C-24546,25519.251953125
C-30531,0.0
C-27851,97423.515625
C-8652,46201.14453125
C-17527,0.0
C-41125,61574.35546875
C-16783,19479.48046875
C-32251,77853.2578125
C-24008,54959.98828125
C-8128,88599.25
C-1254,57733.73828125
C-17808,105559.6640625
C-48439,0.0
C-38876,18491.04296875
C-24861,25800.912109375
C-27404,124673.4453125
C-33515,98732.4296875
C-23782,19008.759765625
