Customer_ID,Loan Amount
C-6692,37731.93884044245
C-25987,109562.43743632417
C-5051,91476.89889520065
C-12745,66413.29440124641
C-8292,14139.847144694324
C-3754,146297.7580040315
C-3984,97248.37357676688
C-48953,21741.211458104022
C-30172,22379.951343173074
C-23000,14434.391246651365
C-14147,51247.66410468354
C-15348,33244.47707512438
C-28709,10253.213019476882
C-7050,22904.73342231003
C-14470,7176.374929829842
C-7656,25822.707426452096
C-33746,98935.34024366559
C-32548,54554.14390063137
C-12679,10392.960272368433
C-24115,98139.85236610845
C-7252,60172.77753742385
C-7384,4051.448856697769
C-24989,30025.31388199937
C-32928,8153.8152732097315
C-3691,22145.22381165764
C-24878,19665.17285227436
C-21789,51390.06409043723
C-16659,23522.90754236794
C-8886,59102.36822130394
C-45045,26527.235467357106
C-38455,32748.82125682432
C-19376,37295.04584224158
C-7171,21689.82038243678
C-33221,76760.07369220436
C-12358,19899.10201186059
C-41422,23651.76597163528
C-5161,64875.13123398899
C-42940,24142.159620551305
C-30405,10923.792770272412
C-15024,40250.802762353174
C-30938,15184.418055044147
C-17715,15434.195060229975
C-44216,46478.29967748437
C-43407,98968.51588422591
C-19049,45152.42394872036
C-21169,57357.58885216656
C-30064,13516.608245895197
C-24705,43130.39790801036
C-34558,93150.67014506337
C-8525,49872.230712013814
C-44176,15837.306824866844
C-45527,18241.939301474802
C-33101,49490.422704106044
C-20333,58680.451500246825
C-3234,27046.541177466555
C-34681,8330.281036271403
C-37749,15132.379991631155
C-27366,20263.011004945285
C-12142,43716.8555114734
C-14285,47760.17588016634
C-3043,78756.20645815205
C-28933,24070.689133710355
C-14391,16901.865321631707
C-5171,85794.53198345129
C-42051,9848.217558573493
C-39348,59621.095155076466
C-29579,71868.92707548897
C-946,39789.800781974474
C-3037,39897.785454375975
C-47057,124060.36463862036
C-8989,26695.20941494731
C-41680,38335.587871197306
C-41271,52138.25722408273
C-18852,92849.83154695551
C-10918,15508.718511429535
C-48018,44978.79651622546
C-22681,62246.63120123804
C-35914,71995.41511320535
C-18648,103023.63885788091
C-49531,60195.06064026686
C-13925,60614.52141093091
C-30823,85796.28528236438
C-49367,110062.21692674996
C-40211,70310.61933847921
C-44380,40333.741345549104
C-12954,23771.859351805117
C-7743,41537.79216328298
C-8851,54919.574856700754
C-38331,104380.54058263323
C-8081,35446.73381392222
C-33982,20074.889244502818
C-27737,55319.870721529405
C-29442,88836.25264124012
C-26011,37966.19371689813
C-25819,74256.40832295101
C-45949,15533.161839539023
C-18022,129736.59053405412
C-1697,14330.661628536054
C-30378,25953.780279502684
C-24546,19785.89807984711
C-30531,41223.77392851719
C-27851,75680.7500707766
C-8652,36295.676332534
C-17527,46593.60125512077
C-41125,48553.88803000403
C-16783,15161.409315264242
C-32251,61496.345672148986
C-24008,42814.53182305648
C-8128,69892.88511444516
C-1254,45118.228780209036
C-17808,82575.05210930888
C-48439,24892.70402645023
C-38876,14637.957004280324
C-24861,20634.296985750538
C-27404,96353.69329655707
C-33515,77408.21825885435
C-23782,14847.428565707163
C-43856,52490.64982534676
C-45854,54461.83414989056
C-45677,79922.82033839625
C-3944,95282.15897203551
C-27783,11628.87710512884
C-19145,34943.71192747499
C-34701,87051.05498991665
C-569,25085.847941695123
C-5878,25765.094231102485
C-41765,72614.96734097347
C-44284,20650.180690276116
C-43898,60942.44039628323
C-31464,18114.85608237963
C-41822,12823.933684805339
C-31947,43890.91448081713
C-6311,9967.567299186725
C-37016,21061.741656324022
C-2916,35298.3136270654
C-13034,19023.315913877046
C-1713,7900.381392610868
C-4123,62871.03663313072
C-4867,50471.04001272554
C-22875,38915.257315209295
C-20115,20708.73943458088
C-22402,84708.71051426846
C-3321,25637.844143342467
C-23714,61463.07931038819
C-9776,27184.290373235424
C-8086,41390.9207065953
C-35364,21703.13632090759
C-39702,25368.649925959962
C-6022,47626.653210314544
C-45230,21026.99159246432
C-28386,30462.88498125809
C-37344,21624.563877747376
C-25325,85579.36120412659
C-38927,34896.890520037814
C-28281,10896.162660347218
C-21572,4046.160273267429
C-41170,38089.41654752048
C-28195,35568.21255271779
C-2868,20957.321205778757
C-16539,42454.437017644384
C-17036,39430.787408746444
C-37437,91493.95124098097
C-19310,38528.43282090724
C-19326,67227.01525444175
C-8200,89256.7939748223
C-34280,20177.453341439304
C-31965,87646.08528594514
C-25959,45216.268721815
C-46673,89588.24589657011
C-9043,24211.677272440687
C-19407,20223.228327575835
C-3613,77842.98659900806
C-17772,61984.63583712635
C-24336,68452.03491159483
C-17509,45603.865179027125
C-12576,39727.00397396801
C-23086,29401.470534048847
C-31357,21371.30482345217
C-5674,55121.91434908915
C-41823,57774.63879855355
C-13289,12771.5101056241
C-13298,15768.756522910076
C-39520,152435.03473932136
C-32863,45858.44271245495
C-28175,65873.10670230423
C-41872,75596.37924116608
C-44335,11460.205153509773
C-11686,16996.85835763228
C-16265,26708.718431752117
C-9036,37846.98827644044
C-41112,102210.4095215148
C-39736,61046.27479389974
C-7459,53138.086872783155
C-6727,16295.558206958733
C-7461,20504.107614384877
C-46020,42357.678736836184
C-28050,98653.83818715041
C-2893,84549.81552179625
C-38091,51636.646153776564
C-33026,33157.423529514155
C-12227,93454.53425610332
C-18361,10332.738311891208
C-13878,55425.6028276775
C-47308,19262.0241974248
C-22367,85312.98173584325
C-7629,77151.95912517635
C-46653,32497.89274939476
C-6306,119983.77650922193
C-5283,23828.93180021594
C-46919,63377.07979558248
C-4715,151625.5209841258
C-39763,53130.29041647711
C-19157,43289.62167882782
C-21999,111136.19908192953
C-35516,61587.61474089622
C-32685,42645.917415513395
C-5844,51235.59882223544
C-30808,18415.025390864277
C-32040,25578.707636997886
C-30002,61231.73888143778
C-46299,16547.266172495154
C-37998,46268.80936320639
C-1818,5578.187062772517
C-176,73835.62385373752
C-4656,71829.72726287175
C-13006,129622.7847818645
C-42033,34107.931032755245
C-11361,60598.118330143305
C-12849,102675.67747188047
C-19021,51667.30924844836
C-24318,34146.259314249146
C-37132,41367.727892388066
C-35293,24755.4875985777
C-1049,43877.403437648645
C-18893,43238.482887946455
C-45301,23025.670043880586
C-35503,63662.699639896964
C-49931,19783.273073483288
C-9920,14077.030416056476
C-15279,118418.74431453036
C-46754,6815.179585850635
C-14687,36763.98142072363
C-26017,14451.000018357992
C-25428,104412.86763803674
C-41783,38009.269794534295
C-40785,35334.85958095005
C-32625,49739.996467933415
C-25749,66165.73537988983
C-2884,114032.10786802295
C-13568,58741.03265578639
C-13831,93348.6769236026
C-2154,32791.08634026265
C-41093,41637.248084289335
C-12869,88052.43015658019
C-14741,66038.77974568255
C-2750,21455.54527687896
C-48305,22590.089815407253
C-27329,37046.12763908477
C-4154,151142.27313259596
C-28582,41187.06192503119
C-49719,19448.020272281363
C-4707,40974.56784262656
C-17745,13628.324847351882
C-1238,38360.14610113295
C-48184,57578.10987466707
C-17063,40445.18342414413
C-39728,76832.27464064611
C-36014,54168.89280213498
C-13922,14978.324883745614
C-3820,69242.39013393455
C-11303,29150.992247977618
C-46268,60946.17951489372
C-30032,28700.484806121367
C-42590,18841.410370660065
